normalized_key,paths
readme,/home/uday/Downloads/pragati_ros2/docs/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/stakeholder-docs/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/superseded/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/execution-plans/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/session-summaries/README.md
index,/home/uday/Downloads/pragati_ros2/docs/INDEX.md | /home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/INDEX.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/INDEX.md
2-phase-roadmap,/home/uday/Downloads/pragati_ros2/docs/enhancements/PHASE_2_ROADMAP.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/enhancements/PHASE_2_ROADMAP.md
analysis-gap-oct,/home/uday/Downloads/pragati_ros2/docs/project-management/GAP_ANALYSIS_OCT2025.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/GAP_ANALYSIS_OCT2025.md
audit-completion-summary,/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/AUDIT_COMPLETION_SUMMARY.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/AUDIT_COMPLETION_SUMMARY.md
checklist-completion,/home/uday/Downloads/pragati_ros2/docs/project-management/COMPLETION_CHECKLIST.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/COMPLETION_CHECKLIST.md
completed-todos,/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/todos_completed.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/todos_completed.md
consolidation-documentation-plan,/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/DOCUMENTATION_CONSOLIDATION_PLAN.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/DOCUMENTATION_CONSOLIDATION_PLAN_2025-10-15.md
dashboard-enhancement-plan-web,/home/uday/Downloads/pragati_ros2/docs/enhancements/WEB_DASHBOARD_ENHANCEMENT_PLAN.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/enhancements/WEB_DASHBOARD_ENHANCEMENT_PLAN.md
documentation-plan-reorganization,/home/uday/Downloads/pragati_ros2/docs/project-management/DOCUMENTATION_REORGANIZATION_PLAN.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/DOCUMENTATION_REORGANIZATION_PLAN.md
implementation-oct-plan,/home/uday/Downloads/pragati_ros2/docs/project-management/IMPLEMENTATION_PLAN_OCT2025.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/IMPLEMENTATION_PLAN_OCT2025.md
master-todo,/home/uday/Downloads/pragati_ros2/docs/TODO_MASTER.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/TODO_MASTER.md
matrix-reality-status,/home/uday/Downloads/pragati_ros2/docs/STATUS_REALITY_MATRIX.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/STATUS_REALITY_MATRIX.md
obsolete-todos,/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/todos_obsolete.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/todos_obsolete.md
overview-system,/home/uday/Downloads/pragati_ros2/docs/production-system/01-SYSTEM_OVERVIEW.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/production-system/01-SYSTEM_OVERVIEW.md
progress-reorganization,/home/uday/Downloads/pragati_ros2/docs/project-management/REORGANIZATION_PROGRESS.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/REORGANIZATION_PROGRESS.md
remaining-tasks,/home/uday/Downloads/pragati_ros2/docs/project-management/REMAINING_TASKS.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/REMAINING_TASKS.md
session-summary,/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-sessions/SESSION_SUMMARY_2025-10-10.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/session-summaries/SESSION_SUMMARY_2025-10-08.md
